period,metric_name,metric_value,metric_note
2022,deployment_frequency,7.0,
2023,deployment_frequency,28.0,
2024,deployment_frequency,37.0,
2025,deployment_frequency,28.0,
2022,lead_time_days_mean,38.73302326841373,
2023,lead_time_days_mean,8.910773381941874,
2024,lead_time_days_mean,5.906746502300256,
2025,lead_time_days_mean,7.1221774952919015,
2022,lead_time_days_median,31.983836805555555,
2023,lead_time_days_median,5.3126851851851855,
2024,lead_time_days_median,5.322685185185185,
2025,lead_time_days_median,7.007418981481481,
2022,lead_time_days_min,0.001388888888888889,
2023,lead_time_days_min,0.0004166666666666667,
2024,lead_time_days_min,0.00034722222222222224,
2025,lead_time_days_min,0.0002199074074074074,
2022,lead_time_days_max,107.39729166666666,
2023,lead_time_days_max,50.06728009259259,
2024,lead_time_days_max,20.167546296296297,
2025,lead_time_days_max,63.16295138888889,
2022,recovery_time_days_mean,43.614963942307696,
2023,recovery_time_days_mean,68.66641970346552,
2024,recovery_time_days_mean,114.24300817249174,
2025,recovery_time_days_mean,283.03418974550897,
2022,recovery_time_days_median,30.802939814814813,
2023,recovery_time_days_median,24.630370370370372,
2024,recovery_time_days_median,61.530092592592595,
2025,recovery_time_days_median,262.62070601851855,
2022,adapted_bugfix_deployment_rate,0.8571428571428571,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
2023,adapted_bugfix_deployment_rate,1.0,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
2024,adapted_bugfix_deployment_rate,0.8648648648648649,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
2025,adapted_bugfix_deployment_rate,0.6071428571428571,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
